Rank,Name,Ticker,Industry,Sector,Returns,Volatility,P/E Ratio
1144,Boise Cascade Co,BCC,Building Materials,Basic Materials,-0.003444264381387045,1.458043248645028,2.99
1145,Duke Energy Corp,DUK,Utilities - Regulated Electric,Utilities,-0.003465591833776937,1.971057469381907,21.32
1146,Deutsche Telekom AG,DTE,Telecom Services,Communication Services,-0.003491367422701029,1.9668883440840526,21.69
1147,BT Group PLC,BTA,Telecom Services,Communication Services,-0.0035650589038374054,1.630605395004132,12.76
1148,AmerisourceBergen Corp,ABG,Medical Distribution,Healthcare,-0.0035714285714285713,1.8782037125468771,20.16
1149,Adient PLC,ADNT,Auto Parts,Consumer Cyclical,-0.003581675544286046,1.5954192042293678,4.58
1150,MAV Beauty Brands Inc,MAV,Household & Personal Products,Consumer Defensive,-0.0036133661206631386,1.8380829218731813,5.34
1151,Dollar Tree Inc,DLTR,Discount Stores,Consumer Defensive,-0.0036212199392997814,1.7451850490216252,20.33
1152,Daqo New Energy Corp,DQ,Semiconductor Equipment & Materials,Technology,-0.0036291192292581117,1.7230939199258846,1.87
1153,Cadence Bank,CADE,Banks - Regional,Financial Services,-0.003638726585134189,1.883858621074502,18.35
1154,Bellevue Group AG,BBN,Asset Management,Financial Services,-0.003647967286492632,1.7009720698683026,14.77
1155,Air Transport Services Group Inc,ATSG,Airlines,Industrials,-0.0036496315432303786,2.1031859617792117,11.48
1156,Perpetual Ltd,PPT,Asset Management,Financial Services,-0.0036563037831145767,1.7434917855076826,14.93
1157,Carlsberg A/S,ASB,Beverages - Brewers,Consumer Defensive,-0.0036900509248001417,1.892144547537042,18.25
1158,Newell Brands Inc,NWL,Household & Personal Products,Consumer Defensive,-0.00369550567048557,1.9728217457942216,10.66
1159,Ares Commercial Real Estate Corp,ACRE,REIT - Mortgage,Real Estate,-0.0037201814450593105,1.4902546271312571,12.15
1160,BCB Bancorp Inc,BCBP,Banks - Regional,Financial Services,-0.0037312864540235934,1.555226147685215,7.16
1161,NXP Semiconductors NV,NXPI,Semiconductors,Technology,-0.003737023922824978,1.849563984201501,15.92
1162,Kontron AG,KTN,Computer Hardware,Technology,-0.003759424779028104,1.7397574190505625,20.92
1163,LCNB Corp,LCNB,Banks - Regional,Financial Services,-0.00381682052146935,1.3031640068327466,10.01
1164,Janus Henderson Group PLC,JHG,Asset Management,Financial Services,-0.003822324605516427,2.008556181851097,9.47
1165,AutoZone Inc,AZO,Specialty Retail,Consumer Cyclical,-0.0038282969430701187,2.0504598060577917,20.92
1166,SS&C Technologies Holdings Inc,SSNC,Software - Application,Technology,-0.0038625458835815584,1.9435860189041563,20.37
1167,APA Corp,APA,Oil & Gas E&P,Energy,-0.0038637973436773257,1.926004354427229,4.06
1168,SK Telecom Co Ltd,SKM,Telecom Services,Communication Services,-0.0038709743048555107,1.4552420254632872,12.45
1169,Flex LNG Ltd,FLNG,Oil & Gas Midstream,Energy,-0.003891046973934726,1.4749505065191169,7.47
1170,Livingstone Health Holdings Ltd,PRH,Medical Care Facilities,Healthcare,-0.003943232612892795,1.731961165093005,16.00
1171,infas Holding Aktiengesellschaft,IFS,Advertising Agencies,Communication Services,-0.003947689420949254,2.728968291485352,22.08
1172,Taylor Devices Inc,TAYD,Specialty Industrial Machinery,Industrials,-0.003960392113094992,1.451184496029646,12.85
1173,AvalonBay Communities Inc,AVB,REIT - Residential,Real Estate,-0.0039668448295469136,1.9142059756860954,18.59
1174,"NextEra Energy Partners, LP",NQP,Utilities—Renewable,Utilities,-0.003984078882466976,1.7431953339737565,12.89
1175,Eagle Bancorp Montana Inc,EBMT,Banks - Regional,Financial Services,-0.0040506290484078325,1.4161781952350991,13.61
1176,International Seaways Inc,INSW,Oil & Gas Midstream,Energy,-0.004077467904388759,1.2690093039538084,12.24
1177,Acteos,EOS,Software - Application,Technology,-0.004081614949342932,1.7658003525954105,19.88
1178,Golar LNG Ltd,GLNG,Oil & Gas Midstream,Energy,-0.004194109801337475,2.0258338502465105,2.87
1179,Nelnet Inc,NNI,Credit Services,Financial Services,-0.004225828273238847,1.878519490775211,6.91
1180,Bayerische Motoren Werke AG,BYM,Auto Manufacturers,Consumer Cyclical,-0.0042463141635347024,1.650323086275985,2.48
1181,Energy Transfer LP,ETJ,Oil & Gas Midstream,Energy,-0.004273500354723876,1.7028901833418792,9.77
1182,Constellium SE,CSTM,Aluminum,Basic Materials,-0.004385898134529008,1.980981595919741,6.49
1183,Avista Corp,AVA,Utilities - Diversified,Utilities,-0.004385956297854985,2.01374150933123,24.45
1184,Vince Holding Corp,VNCE,Apparel Manufacturing,Consumer Cyclical,-0.004439507307092648,2.164458556232112,1.79
1185,PNC Financial Services Group Inc,PNC,Banks - Regional,Financial Services,-0.00450425865451381,1.9496756452511987,12.38
1186,PT Indo Tambangraya Megah Tbk,INDO,Thermal Coal,Energy,-0.004512135478768845,1.3332873269656769,3.51
1187,Evertec Inc,EVTC,Software - Infrastructure,Technology,-0.004519334825881953,1.8250690114746575,9.52
1188,3D Systems Corporation,DDF,Computer Hardware,Technology,-0.004549607986914095,1.6975859899750816,4.59
1189,Cabot Corp,CBT,Specialty Chemicals,Basic Materials,-0.004552825679623984,1.8777437433003838,19.31
1190,SBI Holdings Inc,SBI,Asset Management,Financial Services,-0.004571424211774554,1.5665289157522175,2.43
1191,Francotyp-Postalia Holding AG,FPH,Specialty Business Services,Industrials,-0.0045836836453234985,1.9679062545976658,13.00
1192,EnerSys,ENS,Electrical Equipment & Parts,Industrials,-0.004595166207689675,1.7077926066365772,24.21
1193,Energy Transfer LP,ETV,Oil & Gas Midstream,Energy,-0.004654235040010886,1.6651799362032296,9.75
1194,"Athersys, Inc.",ATAX,Biotechnology,Healthcare,-0.004665588456001982,1.5270130092291974,0.89
1195,Nokia Oyj,NOK,Communication Equipment,Technology,-0.004702227158342072,1.9471130264328753,15.29
1196,Intercontinental Exchange Inc,ICE,Financial Data & Stock Exchanges,Financial Services,-0.00474071335050408,1.4279251987488322,23.20
1197,Innoviva Inc,INVA,Biotechnology,Healthcare,-0.004758646814594886,1.9263012737346183,4.06
1198,Ranger Energy Services Inc,RNGR,Oil & Gas Equipment & Services,Energy,-0.004796158407816745,1.8661114829303782,4.32
1199,Marten Transport Ltd,MRTN,Trucking,Industrials,-0.004830936124831633,1.7576949193021585,15.11
1200,Alexanderwerk AG,ALX,Specialty Industrial Machinery,Industrials,-0.004853884782997141,2.1655845026433607,10.30
1201,Pro-Dex Inc,PDEX,Medical Instruments & Supplies,Healthcare,-0.0048780442418827645,1.5020641089003066,16.61
1202,iA Financial Corp Inc,IAF,Insurance - Diversified,Financial Services,-0.004878082820022663,1.8147716063059494,11.03
1203,Century Communities Inc,CCS,Residential Construction,Consumer Cyclical,-0.004886043066812743,1.504512570667483,3.02
1204,Grand Peak Capital Corp,GPK,Asset Management,Financial Services,-0.00492608688503191,1.880790919279125,13.00
1205,Exceed World Inc,EXD,Education & Training Services,Consumer Defensive,-0.005025144893802551,1.7930559784347442,5.86
1206,Etion Ltd,ETO,Scientific & Technical Instruments,Technology,-0.00504075469175206,1.8559965958265725,8.45
1207,CVB Financial Corp,BCV,Banks - Regional,Financial Services,-0.0050691523725394545,1.9022305608762118,15.87
1208,inTest Corp,INTT,Semiconductor Equipment & Materials,Technology,-0.005076137217272897,1.6302268530585515,23.20
1209,AC Immune SA,ACIU,Biotechnology,Healthcare,-0.005076161299336364,1.1119986300907299,11.21
1210,Kaixin Auto Holdings,KXIN,Auto & Truck Dealerships,Consumer Cyclical,-0.0051072718007855195,2.9110404727253103,0.94
1211,CBIZ Inc,CBZ,Specialty Business Services,Industrials,-0.005115011663608079,1.5473528493852786,22.78
1212,Fielmann AG,FLMN,Medical Instruments & Supplies,Healthcare,-0.0051229702420398,2.244366567031071,21.28
1213,Stock Yards Bancorp Inc,SYBT,Banks - Regional,Financial Services,-0.005128224690755208,1.717515946312047,20.20
1214,Nisshinbo Holdings Inc,NBO,Conglomerates,Industrials,-0.00514575186342714,1.6159268502506035,6.11
1215,Watts Water Technologies Inc,WTS,Specialty Industrial Machinery,Industrials,-0.005174663778616891,1.8914715993165103,22.47
1216,National Atomic Co Kazatomprom JSC,NAC,Uranium,Energy,-0.005212259635731793,1.36273761742888,15.92
1217,KB Home,KBH,Residential Construction,Consumer Cyclical,-0.005323170863486486,1.9232268671437258,4.05
1218,Marui Group Co Ltd,MUI,Credit Services,Financial Services,-0.00533127907190421,1.8135533853020391,21.69
1219,Tilly's Inc,TLYS,Apparel Retail,Consumer Cyclical,-0.005410317294062246,1.3096619750838778,12.33
1220,ABB Ltd,ABB,Electrical Equipment & Parts,Industrials,-0.005418889620962506,1.6190444753703754,15.85
1221,Citizens Financial Group Inc,CFG,Banks - Regional,Financial Services,-0.005424607279629715,1.6554161847218418,9.61
